Kabupaten/Kota,Jumlah Sekolah SD,Jumlah Guru SD,Jumlah Murid SD,Tahun
Lampung Barat,213,2147,29454,2019
Tanggamus,408,4494,59452,2019
Lampung Selatan,494,5835,99331,2019
Lampung Timur,574,6299,94508,2019
Lampung Tengah,739,8212,130649,2019
Lampung Utara,434,4943,63661,2019
Way Kanan,313,3627,50796,2019
Tulangbawang,215,2729,47573,2019
Pesawaran,313,3323,43936,2019
Pringsewu,272,2877,40317,2019
Mesuji,134,1464,24736,2019
Tulang Bawang Barat,174,1929,31015,2019
Pesisir Barat,125,1523,18182,2019
Kota Bandar Lampung,259,4997,95222,2019
Kota Metro,62,1050,16375,2019
Lampung Barat,215,2187,29100,2020
Tanggamus,409,4729,58961,2020
Lampung Selatan,496,6014,99008,2020
Lampung Timur,574,6562,93298,2020
Lampung Tengah,741,8001,129472,2020
Lampung Utara,434,4879,61820,2020
Way Kanan,313,3683,50280,2020
Tulangbawang,216,2842,46914,2020
Pesawaran,313,3413,43285,2020
Pringsewu,264,2969,40039,2020
Mesuji,134,1566,24947,2020
Tulang Bawang Barat,174,1963,30707,2020
Pesisir Barat,126,1613,18118,2020
Kota Bandar Lampung,255,5279,94019,2020
Kota Metro,62,1035,15995,2020
Lampung Barat,216,2090,28176,2021
Tanggamus,409,4554,57359,2021
Lampung Selatan,499,5916,97412,2021
Lampung Timur,576,6061,90353,2021
Lampung Tengah,746,8288,126102,2021
Lampung Utara,434,4796,59920,2021
Way Kanan,314,3566,48829,2021
Tulangbawang,218,2734,45228,2021
Pesawaran,315,3182,42291,2021
Pringsewu,265,2863,38998,2021
Mesuji,135,1633,24499,2021
Tulang Bawang Barat,175,1972,29937,2021
Pesisir Barat,126,1593,17923,2021
Kota Bandar Lampung,240,4968,90737,2021
Kota Metro,63,1094,16151,2021
Lampung Barat,216,2185,27775,2022
Tanggamus,404,4739,56389,2022
Lampung Selatan,502,5984,96997,2022
Lampung Timur,578,6303,88139,2022
Lampung Tengah,752,8857,122268,2022
Lampung Utara,435,5066,58847,2022
Way Kanan,317,3743,48159,2022
Tulangbawang,220,2899,44191,2022
Pesawaran,299,3340,41799,2022
Pringsewu,265,3010,38367,2022
Mesuji,135,1648,24456,2022
Tulang Bawang Barat,176,2081,29470,2022
Pesisir Barat,127,1638,17960,2022
Kota Bandar Lampung,241,5069,88925,2022
Kota Metro,65,1149,15877,2022
Lampung Barat,216,2189,27712,2023
Tanggamus,404,4767,56404,2023
Lampung Selatan,504,5918,97851,2023
Lampung Timur,577,6118,86667,2023
Lampung Tengah,752,8810,121560,2023
Lampung Utara,424,4869,58578,2023
Way Kanan,317,3800,47999,2023
Tulangbawang,220,2937,44081,2023
Pesawaran,301,3297,41947,2023
Pringsewu,266,3045,38181,2023
Mesuji,135,1607,24645,2023
Tulang Bawang Barat,177,2099,29278,2023
Pesisir Barat,128,1795,18102,2023
Kota Bandar Lampung,240,5123,89671,2023
Kota Metro,65,1143,16216,2023
Lampung Barat,216,2164,27784,2024
Tanggamus,404,4923,56937,2024
Lampung Selatan,508,5895,98718,2024
Lampung Timur,580,6042,85200,2024
Lampung Tengah,756,8784,120746,2024
Lampung Utara,423,4935,58381,2024
Way Kanan,319,3742,47660,2024
Tulangbawang,220,2957,43626,2024
Pesawaran,302,3296,42012,2024
Pringsewu,268,2931,38336,2024
Mesuji,134,1657,24689,2024
Tulang Bawang Barat,177,2084,28542,2024
Pesisir Barat,127,1900,18223,2024
Kota Bandar Lampung,243,5188,90696,2024
Kota Metro,65,1156,16418,2024
